Postal Code,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,X,Y
18965,627.1,633.6,565.1,649.9,971.7,757.6,745.1,833.4,742.4,817,872,802.5,30095.0362,29199.5705
18980,546.2,580.5,502.7,557.6,778.6,627.4,691.4,723.6,608.1,654.7,735.2,677.5,30411.5428,29120.0497
18985,403.6,434.9,397.1,420.9,554.2,461.9,432.9,507.4,469.6,484.3,511.3,479.8,30152.3828,29246.505
18987,411.4,426.5,399.3,427.8,557.5,452.5,476.6,513.6,463,482.9,517.1,486.3,30152.3828,29246.505
58359,677.9,819.9,679.8,722.4,984.5,878.2,"1,088.00","1,064.80",882.1,936.9,866.6,822.9,29186.5408,29799.447
58416,691.2,460.5,557.7,752.6,640.7,812.3,676.2,757.5,642.8,667.6,680.8,701.6,29680.4739,30154.9385
58469,s,s,s,s,s,s,s,s,s,s,s,s,29208.7627,29467.5644
58603,s,s,s,s,s,s,s,s,s,s,s,s,29132.562,29540.13
58727,555.6,657.2,552.1,622,786.8,767.7,775,786.3,813.9,733.3,880.4,831,29460.2085,29711.5173
58959,s,s,s,s,s,s,s,s,s,s,s,s,29132.7512,29476.2998
59108,721.5,518.1,581.7,579.9,613.7,796.7,730,828.7,767.8,731.5,727.1,757.5,29031.2548,29617.9408
59214,s,s,s,s,s,s,s,s,s,s,s,s,29196.0965,29532.284
59521,187.4,368.7,477.3,438.4,521.3,497.9,461.9,407.8,499,407.7,377.4,335.6,29265.2279,29604.9224
59523,246.8,330.3,476.8,466.8,438.8,525.2,499.1,425.4,773.9,580.9,552.5,575.4,29265.2279,29604.9224
59608,454.6,635.9,536.6,598.1,852,721.8,684.6,768.9,883,753.5,705.3,610,29194.2541,30099.7028
59765,605.3,620.9,680.6,710,895,705.1,778.8,856.3,774.8,864.4,754.8,775.9,29109.2681,30063.5819
59812,593,837.6,641.1,777.7,"1,027.20",872.4,955.4,"1,019.40",777.8,723.5,"1,110.00",977.7,28839.4015,29364.4561
68803,365,487.9,394.7,455.2,556.3,486.5,516.1,539,574.8,573.5,520.8,538,29918.0101,29083.4584
68979,s,s,s,s,s,s,s,s,s,s,s,s,29402.7367,29449.2266
